0	10719	108
1	10489	214
2	9156	283
3	9135	380
4	9220	485
5	9227	589
6	9131	687
7	9022	784
8	9006	890
9	8903	989
10	8857	1094
11	8803	1200
12	8722	1303
13	8631	1405
14	8211	1449
15	8146	1551
16	8079	1654
17	8009	1758
18	7932	1860
19	7857	1964
20	7786	2069
21	7708	2174
22	7635	2280
23	7361	2324
24	7180	2393
25	7116	2500
26	7031	2600
27	6962	2707
28	6759	2761
29	6681	2863
30	6606	2968
31	6528	3072
32	6314	3110
33	6240	3214
34	6161	3317
35	6086	3423
36	6009	3529
37	5933	3636
38	5852	3741
39	5766	3844
40	5688	3952
41	5605	4058
42	5519	4163
43	5435	4271
44	5349	4376
45	5263	4483
46	5176	4590
47	5009	4624
48	4924	4731
49	4839	4839
50	4755	4949
51	4604	4987
52	4515	5091
53	4427	5197
54	4340	5304
55	4250	5409
56	4162	5517
57	4071	5623
58	3980	5728
59	3889	5833
60	3798	5941
61	3706	6046
62	3573	6084
63	3482	6191
64	3370	6259
65	3279	6365
66	3185	6466
67	3093	6574
68	3002	6683
69	2910	6792
70	2819	6903
71	2725	7007
72	2631	7115
73	2538	7225
74	2443	7331
75	2349	7440
76	2255	7552
77	2160	7660
78	2064	7768
79	1969	7878
80	1873	7987
81	1778	8100
82	1670	8154
83	1574	8265
84	1478	8379
85	1382	8491
86	1285	8601
87	1187	8708
88	1089	8817
89	991	8925
90	893	9036
91	795	9145
92	696	9258
93	597	9365
94	498	9473
95	399	9579
96	299	9686
97	200	9800
98	100	9903
99	0	10008
